                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.52184,                0.35392,                0.93419,                0.85309,                0.98077,                0.94883,                0.78196,                0.77803,                 4.2142,                0.97666,             0.00021137,             0.00021137,             0.00021137
                     71,                0.52249,                0.36709,                0.92053,                0.84773,                0.98077,                0.94297,                0.80278,                0.72047,                 3.8161,                0.94895,             0.00020477,             0.00020477,             0.00020477
                     72,                  0.525,                0.36198,                0.93649,                0.82598,                0.98077,                0.93153,                0.77708,                0.71401,                 3.8394,                0.93521,             0.00019817,             0.00019817,             0.00019817
                     73,                0.51446,                0.35496,                0.92501,                 0.8293,                0.98077,                0.96557,                0.81045,                 0.6962,                 3.3915,                0.91631,             0.00019156,             0.00019156,             0.00019156
                     74,                0.51229,                0.36185,                0.92436,                0.84168,                0.98077,                0.96512,                0.80668,                0.72054,                 3.2432,                0.91136,             0.00018496,             0.00018496,             0.00018496
                     75,                0.50442,                0.35138,                0.91623,                0.85896,                0.96966,                0.96326,                0.79471,                0.69712,                 3.3066,                0.91262,             0.00017836,             0.00017836,             0.00017836
                     76,                 0.4916,                0.33687,                0.91885,                0.84763,                0.97679,                0.97284,                 0.7982,                0.73414,                 3.6611,                0.91529,             0.00017175,             0.00017175,             0.00017175
                     77,                0.47981,                0.33271,                0.91254,                0.85374,                0.96966,                0.96324,                0.81495,                0.72462,                 3.8616,                0.90275,             0.00016515,             0.00016515,             0.00016515
                     78,                0.49866,                0.33712,                0.92455,                0.84928,                      1,                0.97542,                0.80544,                0.72977,                 3.8773,                0.91147,             0.00015855,             0.00015855,             0.00015855
                     79,                0.48874,                 0.3348,                 0.9173,                0.81803,                0.98077,                0.97546,                0.79951,                0.72654,                 3.6335,                0.90532,             0.00015194,             0.00015194,             0.00015194
                     80,                0.47325,                0.32478,                0.91237,                0.84301,                      1,                0.96376,                  0.812,                0.73149,                 3.7886,                0.91216,             0.00014534,             0.00014534,             0.00014534
                     81,                0.49123,                0.34359,                0.91691,                0.85054,                      1,                0.96081,                0.79691,                 0.7178,                  3.255,                0.91206,             0.00013874,             0.00013874,             0.00013874
                     82,                0.48089,                0.32806,                0.91732,                0.85659,                      1,                0.95706,                0.80368,                0.69596,                  3.424,                0.88407,             0.00013213,             0.00013213,             0.00013213
                     83,                0.48789,                0.33951,                0.92215,                0.85658,                      1,                 0.9515,                0.79006,                0.68106,                 3.0653,                0.88567,             0.00012553,             0.00012553,             0.00012553
                     84,                0.47378,                0.32275,                0.91523,                0.85207,                      1,                0.93994,                0.78793,                0.69972,                 2.8138,                0.91474,             0.00011893,             0.00011893,             0.00011893
                     85,                0.46448,                0.33055,                0.91099,                0.85354,                      1,                0.96042,                0.80146,                0.71663,                 2.7638,                0.92019,             0.00011232,             0.00011232,             0.00011232
